City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Carutapera,BR,75.29,overcast clouds,-1.2,-46.02,Lidera
5,Rae Bareli,IN,86.0,haze,26.22,81.23,Hotel Ashirwad Inn
13,Bambous Virieux,MU,77.0,broken clouds,-20.34,57.76,Casa Tia Villa
20,Atuona,PF,78.55,light rain,-9.8,-139.03,Villa Enata
21,Georgetown,MY,87.8,haze,5.41,100.34,Cititel Penang
23,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
31,San Pedro,PH,84.99,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
32,San Quintin,MX,75.29,broken clouds,30.48,-115.95,Old Mill Hotel
33,Monrovia,LR,75.2,scattered clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
42,Pringsewu,ID,88.11,scattered clouds,-5.36,104.97,Urban Style by Front One
43,Komsomolskiy,UZ,80.6,clear sky,40.43,71.72,Ikathouse
45,Kavieng,PG,84.31,few clouds,-2.57,150.8,Nusa Island Retreat
48,Da Lat,VN,75.02,light rain,11.95,108.44,YK Home Villa Dalat
50,Mount Isa,AU,80.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
52,San Policarpo,PH,85.48,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
57,Naze,JP,89.6,few clouds,28.37,129.48,奄美ポートタワーホテル
66,Saint-Philippe,RE,75.99,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
67,Linxia,CN,81.05,overcast clouds,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
68,Butaritari,KI,82.78,overcast clouds,3.07,172.79,Isles Sunset Lodge
69,Gat,IL,80.01,clear sky,31.61,34.76,רגע בנחת
71,Hilo,US,77.0,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
72,Cabo San Lucas,MX,77.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
79,Camp Verde,US,80.6,clear sky,34.56,-111.85,Days Inn by Wyndham Camp Verde Arizona
81,Isangel,VU,82.4,clear sky,-19.55,169.27,Volcano Sea View Tree House
84,Seoul,KR,84.2,broken clouds,37.57,126.98,LOTTE HOTEL SEOUL
87,Hirara,JP,84.2,shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
89,Ofaqim,IL,75.99,clear sky,31.31,34.62,אחוזת הדר מסלול
98,Coahuayana,MX,77.14,overcast clouds,18.73,-103.68,Hotel Los Arcos
99,Bandarbeyla,SO,86.54,clear sky,9.49,50.81,REER XOOSHLE GROUP
101,Cap Malheureux,MU,77.0,overcast clouds,-19.98,57.61,Pereybere Hotel & Spa
104,Cockburn Town,TC,82.58,clear sky,21.46,-71.14,Osprey Beach Hotel
105,Kavaratti,IN,84.2,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
110,Awbari,LY,86.76,clear sky,26.59,12.78,فندق أوباري
112,Sabang,ID,83.93,broken clouds,5.89,95.32,Hotel Citra
120,Guerrero Negro,MX,76.89,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
122,Zhaozhou,CN,75.65,clear sky,45.68,125.32,East Hotel
123,Gizo,SB,83.7,few clouds,-8.1,156.84,Imagination Island
127,Sri Aman,MY,89.6,scattered clouds,1.24,111.46,Seri Simanggang Hotel
132,Hami,CN,83.46,overcast clouds,42.8,93.45,Laoyutang Resort
134,Yanam,IN,82.4,scattered clouds,16.73,82.22,The Regency Hotel
139,Lakatoro,VU,82.4,few clouds,-16.1,167.42,Lakatoro Palm Lodge
141,Trairi,BR,76.32,overcast clouds,-3.28,-39.27,Pousada Field Lilies - Trairi
145,Mindelo,CV,80.6,broken clouds,16.89,-24.98,Hotel Gaudi
148,Zhanaozen,KZ,90.0,overcast clouds,43.3,52.8,K.korabay 28A
149,Canutama,BR,80.83,broken clouds,-6.53,-64.38,Hotel Jhennifer
150,Ambon,ID,84.99,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
151,Teahupoo,PF,77.0,shower rain,-17.83,-149.27,Vanira Lodge
153,Isla Mujeres,MX,82.99,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
154,Hithadhoo,MV,83.84,broken clouds,-0.6,73.08,Scoop Guest House
159,Bose,IT,75.99,clear sky,45.46,8.01,Locanda Borgo Antico
160,Pontianak,ID,88.84,broken clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
166,Daru,PG,78.57,clear sky,-9.08,143.21,New century hotel
168,Dhali,IN,86.0,scattered clouds,10.5,77.17,Karthik Tiffin Center
173,Belyy Yar,RU,77.0,overcast clouds,53.6,91.39,Pasportnyy Stol
177,Asau,RO,75.0,clear sky,46.43,26.4,Casa Mika Ciobanus
186,Zhangye,CN,76.08,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
189,Emerald,AU,80.6,clear sky,-23.53,148.17,The Irish Village
191,Fuzhou,CN,89.6,scattered clouds,26.06,119.31,Shangri La Hotel Fuzhou
196,Nhulunbuy,AU,84.2,few clouds,-12.23,136.77,East Arnhem Real Estate
201,Airai,TL,75.09,clear sky,-8.93,125.41,Juvinal Martin
203,Kirakira,SB,81.64,light rain,-10.45,161.92,SanBiz Lodge
209,Zatoka,UA,78.8,clear sky,46.07,30.47,Solnechnaya
217,Santa Marta,CO,75.0,broken clouds,11.24,-74.2,Hotel La Ballena Azul
218,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
220,Labuhan,ID,87.37,overcast clouds,-6.88,112.21,bador sepret
222,Bengkulu,ID,86.14,clear sky,-3.8,102.27,Grage Hotel Bengkulu
229,Oriximina,BR,77.25,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
233,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
238,Cayenne,GF,77.0,few clouds,4.93,-52.33,Hôtel Le Dronmi
240,Chakradharpur,IN,87.8,haze,22.7,85.63,SPOT ON 49653 Rajasthan Guest House SPOT
243,Namatanai,PG,82.69,scattered clouds,-3.67,152.43,Namatanai Hotel
244,Luganville,VU,82.4,few clouds,-15.53,167.17,The Espiritu Hotel
245,Acapulco,MX,79.61,light rain,16.86,-99.89,HS Hotsson Smart Acapulco
248,Ambilobe,MG,86.95,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
251,Progreso,MX,75.0,clear sky,21.28,-89.67,Playa Linda Hotel
253,Hobyo,SO,82.11,broken clouds,5.35,48.53,Osmani Hotel
256,Raichur,IN,78.62,overcast clouds,16.2,77.37,Hotel CM Residency
262,Port Blair,IN,85.84,overcast clouds,11.67,92.75,Fortune Resort Bay Island
264,Ciudad Bolivar,VE,78.08,light rain,8.12,-63.55,Hotel Edi
272,San Blas,MX,80.67,overcast clouds,21.52,-105.27,Hotel Posada del Rey
274,Kathmandu,NP,84.2,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
275,Charleston,US,80.01,light rain,32.78,-79.93,French Quarter Inn
276,Mazatlan,MX,82.99,scattered clouds,23.22,-106.42,Gaviana Resort
277,Son La,VN,81.59,light rain,21.32,103.9,Galaxy Grand Hotel
279,Neyshabur,IR,86.32,clear sky,36.21,58.8,Amiran Hotel
281,Alyangula,AU,84.2,clear sky,-13.85,136.42,Groote Eylandt Lodge
284,San Fernando,PH,84.2,light intensity shower rain,15.03,120.69,Maharlika Hostel
285,Samarai,PG,77.34,clear sky,-10.62,150.67,Nuli Sapi
290,Dharchula,IN,81.72,light rain,29.85,80.53,Mahara Hotel
291,Korla,CN,84.81,overcast clouds,41.76,86.15,Gulisitan Hotel
295,Padang,ID,85.42,moderate rain,-0.95,100.35,Mercure Padang
297,Keti Bandar,PK,87.53,overcast clouds,24.14,67.45,Haji laloo memon house
304,La Romana,DO,80.6,few clouds,18.43,-68.97,Casa de Campo Resort and Villas
305,Nsanje,MW,79.43,scattered clouds,-16.92,35.26,Nsanje Discovery Lodge
306,Neon Karlovasion,GR,78.8,clear sky,37.79,26.7,Hotel Aegeon
307,Waingapu,ID,84.96,clear sky,-9.66,120.26,Pondok Wisata Elim
312,Barkhan,PK,88.59,light rain,29.9,69.53,Sardar
314,Myitkyina,MM,87.85,moderate rain,25.38,97.4,Shwe Phyu Hotel
318,Dzaoudzi,YT,80.6,few clouds,-12.79,45.27,Le Rocher
324,Camargo,MX,76.98,clear sky,27.67,-105.17,Hotel Santa Fe
330,Ponta Do Sol,PT,75.2,broken clouds,32.67,-17.1,Hotel do Campo
339,Maunabo,PR,79.0,light rain,18.01,-65.9,Maunacaribe
342,San Patricio,MX,76.59,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
344,Morondava,MG,77.04,clear sky,-20.28,44.28,La Case Bambou
350,Gazimurskiy Zavod,RU,75.49,light rain,51.55,118.33,Gostinitsa Gazimur
352,Saint George,US,89.6,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
357,Mitsamiouli,KM,78.8,few clouds,-11.38,43.28,Foyer ADM
358,Lixourion,GR,78.8,clear sky,38.2,20.43,Summery Hotel
359,Lorengau,PG,84.65,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
365,Dingle,PH,86.13,light rain,11.0,122.67,Camp Pasica
368,Karratha,AU,84.97,clear sky,-20.74,116.85,ibis Styles Karratha
369,Boueni,YT,80.6,clear sky,-12.9,45.08,Auberge bouloulou( inter djasmire )
371,Boysun,UZ,80.78,clear sky,38.21,67.2,Gaza Hotel
372,Saint-Joseph,RE,77.0,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
374,Zharkent,KZ,88.99,clear sky,44.16,80.0,гостиница Satti
375,Mogadishu,SO,78.8,scattered clouds,2.04,45.34,Hotel Juba
381,Bathsheba,BB,80.6,shower rain,13.22,-59.52,Atlantis Hotel
384,Port Moresby,PG,82.4,haze,-9.44,147.18,Lamana Hotel
386,Meulaboh,ID,83.03,light rain,4.14,96.13,Kost Pria
388,Rosetta,EG,82.45,clear sky,31.4,30.42,Green Valley
395,Manati,PR,77.0,overcast clouds,18.43,-66.49,Manati World Point Inn
396,Praia,CV,78.8,scattered clouds,14.92,-23.51,LT Aparthotel
397,Grand Gaube,MU,77.0,overcast clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
401,Alice Springs,AU,77.0,clear sky,-23.7,133.88,Desert Palms Alice Springs
402,Pasni,PK,83.12,overcast clouds,25.26,63.47,3G hotel pasni
404,Kampot,KH,89.6,few clouds,10.62,104.18,Champa Lodge
407,Gasa,PS,80.01,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
409,Calamar,CO,75.97,overcast clouds,10.25,-74.91,Canal del dique y rio magdalena
421,Salinopolis,BR,78.51,few clouds,-0.61,-47.36,Hotel Salinópolis
422,Alcantara,BR,77.0,overcast clouds,-2.41,-44.41,Pousada da Josefa
423,Bandundu,CD,78.64,light rain,-3.32,17.37,Coja Color
427,Nichinan,JP,89.6,broken clouds,31.6,131.37,Guest House Aki
429,Luau,AO,78.33,clear sky,-10.71,22.22,Kimbo Hotel
431,Shimoni,KE,77.61,light rain,-4.65,39.38,Shimoni Reef Lodge
434,Mayskiy,RU,75.2,few clouds,47.69,40.1,Dio Lakrua
435,Kamaishi,JP,89.6,scattered clouds,39.27,141.88,Hotel Route Inn Kamaishi
436,Tahoua,NE,80.6,overcast clouds,14.89,5.27,Bungalows Guesthouse
444,Jacareacanga,BR,78.64,broken clouds,-6.22,-57.75,Casa do Ian😎
448,Port Hedland,AU,87.8,clear sky,-20.32,118.57,The Esplanade Hotel
449,Bela,IN,88.21,broken clouds,25.93,81.98,Siddharth Hotel
453,Balancan,MX,75.74,broken clouds,17.8,-91.53,Hotel Balam Ku
457,Shimoda,JP,87.8,few clouds,34.67,138.95,Shimoda Tokyu Hotel
463,Kassala,SD,84.92,clear sky,15.45,36.4,Amassi Hotel Gash
464,Marsh Harbour,BS,82.67,overcast clouds,26.54,-77.06,Abaco Beach Resort
472,Dali,CN,78.76,light rain,25.7,100.18,Dali Travelling With Hostel
475,Ourossogui,SN,79.32,scattered clouds,15.61,-13.32,Auberge Sogui
480,Douentza,ML,83.84,overcast clouds,15.0,-2.95,Ogomono Doumbo
483,Sao Filipe,CV,75.99,overcast clouds,14.9,-24.5,Tortuga B&B
485,Dinanagar,IN,89.51,scattered clouds,32.15,75.47,Raavi Hotel
489,Kamuli,UG,77.85,few clouds,0.95,33.12,Century Hotel Limited And laundry Services
495,Saint-Pierre,RE,77.0,scattered clouds,-21.34,55.48,Lindsey Hôtel
498,Boyabat,TR,75.2,scattered clouds,41.47,34.77,Kolaz Palas Otel
499,Quatre Cocos,MU,77.0,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
502,Datong,CN,77.43,few clouds,40.09,113.29,Holiday Inn Datong City Centre
503,Wau,SS,79.05,overcast clouds,7.7,28.0,Universal Gab Hotel
504,Tura,IN,82.81,light rain,25.52,90.22,Hotel RIKMAN Continental
513,Passi,PH,86.2,light rain,11.15,122.65,Garden Pavillion
515,Jalu,LY,81.77,clear sky,29.03,21.55,Jalu Hotel
517,Ternate,ID,83.07,clear sky,0.8,127.4,Grand Dafam Bela Ternate
520,Sinnamary,GF,77.31,overcast clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
521,Buta,CD,76.33,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
522,Bani Walid,LY,77.36,clear sky,31.76,13.99,منزل الصابر أبوفانة
526,Gallup,US,75.99,clear sky,35.53,-108.74,El Capitan Motel
528,Jeremie,HT,80.31,clear sky,18.65,-74.12,Auberge Inn
529,Tezu,IN,88.77,scattered clouds,27.92,96.17,Circuit House
535,Faanui,PF,77.61,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
538,Odweyne,SO,78.48,broken clouds,9.41,45.06,Eng Hiirey House
547,Mazara Del Vallo,IT,79.0,few clouds,37.66,12.59,Vizier Resort & Spa
549,Sarkand,KZ,77.0,light rain,45.41,79.92,Гостиница Сарканд
551,Kachug,RU,75.65,overcast clouds,53.96,105.88,"The hotel ""Empire"""
552,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
553,Olinda,BR,75.2,light rain,-8.01,-34.86,Hotel 5 Sóis
558,Ulaangom,MN,77.27,clear sky,49.98,92.07,Achit Nuur Hotel & Restaurant
559,Harindanga,IN,80.6,haze,22.04,88.32,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
564,Kailua,US,78.8,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
566,Sola,VU,84.2,broken clouds,-13.88,167.55,Leumerus Bungalows
568,Boguchany,RU,80.38,clear sky,58.38,97.45,Uyut
573,Urumqi,CN,86.0,broken clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
574,Faya,SA,80.6,scattered clouds,18.39,42.45,مقبرة ال مجمل
580,Tazmalt,DZ,75.2,clear sky,36.39,4.4,Hôtel Numédia
582,Eyl,SO,86.76,overcast clouds,7.98,49.82,Amiin Hotel
583,Nogales,MX,75.0,clear sky,31.31,-110.94,Siesta Motel
584,Tual,ID,79.45,few clouds,-5.67,132.75,Grand Vilia Hotel
585,Upata,VE,79.0,moderate rain,8.01,-62.4,Posada Villa Nela
594,Khombole,SN,77.0,light rain,14.77,-16.7,Keur serigne Mansour Sy
595,Uniao,BR,75.2,broken clouds,-4.59,-42.86,Pousada União
598,Pamanukan,ID,88.63,broken clouds,-6.28,107.81,Paris Day Hotel Pamanukan
601,Road Town,VG,82.99,light rain,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
604,Akyab,MM,82.26,overcast clouds,20.15,92.9,Hotel Memory
605,Athens,GR,82.0,few clouds,37.98,23.72,Novotel Athenes
609,Rock Sound,BS,82.42,overcast clouds,24.9,-76.2,Rock Sound Club
610,Loma Bonita,PA,79.0,overcast clouds,8.38,-80.17,Posada Acuarela Farallón (Panamá)
614,Dong Hoi,VN,85.96,moderate rain,17.48,106.6,Nam Long Hotel
618,Kendari,ID,84.06,clear sky,-3.94,122.5,Hotel Wixel
620,Matara,LK,86.86,scattered clouds,5.95,80.54,Amaloh Boutique Resort
628,Champasak,LA,89.6,moderate rain,14.75,106.0,Kiat Ngong Wetland BUNGALOW
632,Bambanglipuro,ID,89.2,overcast clouds,-7.95,110.28,Puri Brata
635,Srivardhan,IN,79.83,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
644,Ranong,TH,87.8,broken clouds,9.97,98.63,Tinidee Hotel@Ranong
646,Aden,YE,87.71,overcast clouds,12.78,45.04,Sama Emirate Hotel
648,Mansehra,PK,79.41,moderate rain,34.33,73.2,Pine Park Hotel & Resorts
651,Kerema,PG,79.16,broken clouds,-7.96,145.78,Elore Lodge
653,Kawalu,ID,88.92,few clouds,-7.38,108.21,KOSAN UNGU UNSIK
654,Aksu,CN,86.27,few clouds,41.12,80.26,Pudong Holiday Hotel
655,Black River,JM,80.6,broken clouds,18.03,-77.85,Idlers' Rest Beach Hotel
659,Banda Aceh,ID,84.65,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
661,Liwale,TZ,78.3,broken clouds,-9.77,37.93,Samoma Lodge
666,Bairiki,KI,84.2,broken clouds,1.33,172.98,Tarawa Boutique Hotel
668,Atambua,ID,83.7,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
676,Olivenza,ES,75.2,broken clouds,38.68,-7.1,Hotel Heredero
680,Guiyang,CN,82.4,broken clouds,26.58,106.72,Guo Tai Hotel Guiyang
681,Shizukuishi,JP,89.6,scattered clouds,39.68,140.98,Hotel Taikan
683,Chivacoa,VE,84.2,scattered clouds,10.16,-68.89,Hotel Fache C.A
684,Apostolove,UA,80.01,broken clouds,47.66,33.71,Гостиница Приют
686,Wilmington Island,US,82.0,few clouds,32.0,-80.97,Breezeway Studio Manor LLC
687,Alofi,NU,77.0,clear sky,-19.06,-169.92,Taloa Heights
