,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.1,-79.24,57.2,87,1,4.56,clear sky
1,Arraial Do Cabo,BR,-22.97,-42.03,67.26,85,100,24.67,light rain
2,Carutapera,BR,-1.2,-46.02,75.29,89,89,4.83,overcast clouds
3,Kodiak,US,57.79,-152.41,58.93,73,0,7.34,clear sky
4,Bluff,NZ,-46.6,168.33,48.99,92,70,6.55,broken clouds
5,Rae Bareli,IN,26.22,81.23,86.0,79,40,13.87,haze
6,Kruisfontein,ZA,-34.0,24.73,54.0,93,0,3.13,clear sky
7,Cucuta,CO,7.88,-72.51,72.55,75,97,3.06,overcast clouds
8,Mosquera,CO,4.71,-74.23,53.6,87,75,6.93,broken clouds
9,Carnarvon,AU,-24.87,113.63,73.4,53,100,12.75,overcast clouds
10,Nikolskoye,RU,59.7,30.79,68.0,68,0,2.24,clear sky
11,Abu Kamal,SY,34.45,40.92,91.13,25,0,11.99,clear sky
12,Miquelon,PM,47.1,-56.38,62.89,79,0,22.08,clear sky
13,Bambous Virieux,MU,-20.34,57.76,77.0,64,75,8.05,broken clouds
14,Ushuaia,AR,-54.8,-68.3,41.0,75,75,3.36,broken clouds
15,Castro,BR,-24.79,-50.01,45.36,96,100,6.71,light rain
16,Narsaq,GL,60.92,-46.05,44.6,70,0,3.36,clear sky
17,Albany,US,42.6,-73.97,64.0,66,0,3.0,clear sky
18,Port Alfred,ZA,-33.59,26.89,60.33,68,0,8.23,clear sky
19,Karachi,PK,24.91,67.08,95.0,50,40,3.87,smoke
20,Atuona,PF,-9.8,-139.03,78.55,79,5,21.14,light rain
21,Georgetown,MY,5.41,100.34,87.8,74,40,4.7,haze
22,Wawa,NG,9.9,4.42,74.16,95,97,9.17,overcast clouds
23,Kapaa,US,22.08,-159.32,78.8,83,75,9.17,broken clouds
24,Hermanus,ZA,-34.42,19.23,54.0,94,4,1.99,clear sky
25,Leningradskiy,RU,69.38,178.42,41.86,87,100,5.64,overcast clouds
26,Tuktoyaktuk,CA,69.45,-133.04,50.0,87,90,8.05,overcast clouds
27,Busselton,AU,-33.65,115.33,64.99,43,100,4.99,overcast clouds
28,Tasiilaq,GL,65.61,-37.64,39.2,80,43,1.28,scattered clouds
29,Tabou,CI,4.42,-7.35,74.73,85,100,8.08,light rain
30,Kapuskasing,CA,49.42,-82.43,51.8,93,5,2.24,clear sky
31,San Pedro,PH,14.35,121.02,84.99,79,90,11.41,overcast clouds
32,San Quintin,MX,30.48,-115.95,75.29,75,52,5.55,broken clouds
33,Monrovia,LR,6.3,-10.8,75.2,94,40,11.27,scattered clouds
34,Qaanaaq,GL,77.48,-69.36,40.42,87,100,10.4,overcast clouds
35,Yellowknife,CA,62.46,-114.35,48.2,87,5,8.05,clear sky
36,Port Elizabeth,ZA,-33.92,25.57,55.4,87,20,8.05,few clouds
37,Lompoc,US,34.64,-120.46,60.8,87,90,4.7,overcast clouds
38,Iberia,US,29.95,-91.75,73.99,88,1,1.86,clear sky
39,Sorland,NO,67.67,12.69,51.8,76,40,13.87,scattered clouds
40,Cherskiy,RU,68.75,161.3,42.19,65,100,17.27,overcast clouds
41,Belle Fourche,US,44.67,-103.85,73.99,46,1,3.36,clear sky
42,Pringsewu,ID,-5.36,104.97,88.11,52,28,7.87,scattered clouds
43,Komsomolskiy,UZ,40.43,71.72,80.6,36,0,6.93,clear sky
44,Quelimane,MZ,-17.88,36.89,71.6,94,75,7.67,broken clouds
45,Kavieng,PG,-2.57,150.8,84.31,72,21,7.74,few clouds
46,Ullapool,GB,57.9,-5.16,61.0,87,74,1.99,broken clouds
