City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2020-08-19 00:35:12,-24.79,-50.01,59.07,91,100,9.69
1,Faanui,PF,2020-08-19 00:35:13,-16.48,-151.75,78.12,76,0,19.28
2,Butaritari,KI,2020-08-19 00:35:13,3.07,172.79,83.53,71,0,10.25
3,Avera,US,2020-08-19 00:35:13,33.19,-82.53,82.99,57,40,9.17
4,Urzhum,RU,2020-08-19 00:35:14,57.11,50.0,42.26,89,22,9.93
5,Haines Junction,CA,2020-08-19 00:35:14,60.75,-137.51,60.31,56,74,3.02
6,Komsomolskiy,UZ,2020-08-19 00:32:22,40.43,71.72,66.2,68,98,4.7
7,Qaanaaq,GL,2020-08-19 00:28:01,77.48,-69.36,44.35,83,100,8.16
8,Aykhal,RU,2020-08-19 00:33:05,66.0,111.5,48.2,100,90,6.71
9,Shingu,JP,2020-08-19 00:33:04,33.73,135.98,87.8,66,40,3.36
10,Punta Arenas,CL,2020-08-19 00:28:12,-53.15,-70.92,33.8,59,49,14.99
11,Port Lincoln,AU,2020-08-19 00:33:16,-34.73,135.87,56.91,65,0,24.67
12,Victoria,HK,2020-08-19 00:31:01,22.29,114.16,80.6,78,90,29.97
13,Bethel,US,2020-08-19 00:27:41,41.37,-73.41,69.8,64,40,5.82
14,Hobart,AU,2020-08-19 00:28:05,-42.88,147.33,52.0,71,40,10.29
15,Cockburn Town,TC,2020-08-19 00:32:11,21.46,-71.14,83.52,80,0,18.84
16,Albany,US,2020-08-19 00:28:06,42.6,-73.97,72.0,48,7,1.99
17,Kloulklubed,PW,2020-08-19 00:34:15,7.04,134.26,84.2,74,75,9.17
18,Coquimbo,CL,2020-08-19 00:28:12,-29.95,-71.34,51.8,71,75,5.82
19,Barrow,US,2020-08-19 00:28:39,71.29,-156.79,57.2,71,1,9.17
20,Bredasdorp,ZA,2020-08-19 00:26:59,-34.53,20.04,44.6,87,75,6.93
21,Bontang,ID,2020-08-19 00:35:20,0.13,117.5,78.78,86,100,7.2
22,Liku,ID,2020-08-19 00:35:21,-0.73,119.89,82.17,62,98,3.02
23,Hermanus,ZA,2020-08-19 00:28:15,-34.42,19.23,41.0,93,69,5.46
24,Asyut,EG,2020-08-19 00:35:22,27.18,31.18,80.6,47,0,6.93
25,Lima,PE,2020-08-19 00:28:40,-12.04,-77.03,60.8,82,90,13.87
26,Uvinza,TZ,2020-08-19 00:35:22,-5.1,30.39,65.88,49,0,1.7
27,Taoudenni,ML,2020-08-19 00:31:02,22.68,-3.98,99.57,29,0,10.11
28,Vaini,TO,2020-08-19 00:28:53,-21.2,-175.2,73.4,94,90,16.11
29,Komatipoort,ZA,2020-08-19 00:35:24,-25.43,31.95,57.99,73,0,7.83
30,Puerto Ayora,EC,2020-08-19 00:29:08,-0.74,-90.35,66.99,94,89,5.01
31,Saint George,US,2020-08-19 00:28:38,37.1,-113.58,109.99,10,1,8.05
32,Okhotsk,RU,2020-08-19 00:35:25,59.38,143.3,54.81,84,100,12.33
33,Volchanets,RU,2020-08-19 00:35:26,42.91,132.75,82.38,66,1,4.85
34,Rikitea,PF,2020-08-19 00:26:55,-23.12,-134.97,71.94,80,9,11.43
35,Busselton,AU,2020-08-19 00:27:59,-33.65,115.33,45.0,81,13,2.21
36,Mao,ES,2020-08-19 00:33:54,39.89,4.27,75.2,83,94,3.69
37,Kapaa,US,2020-08-19 00:28:08,22.08,-159.32,87.8,58,1,13.87
38,Ayni,TJ,2020-08-19 00:35:28,39.39,68.54,61.39,52,0,0.94
39,Lebu,CL,2020-08-19 00:29:12,-37.62,-73.65,46.17,74,42,13.0
40,Loandjili,CG,2020-08-19 00:33:05,-4.76,11.86,73.4,94,90,8.05
41,Jhawarian,PK,2020-08-19 00:35:29,32.36,72.62,91.22,57,2,7.36
42,Mataura,NZ,2020-08-19 00:28:02,-46.19,168.86,51.22,73,100,4.63
43,Codrington,AU,2020-08-19 00:33:15,-38.27,141.97,53.24,77,100,16.22
44,Bhachau,IN,2020-08-19 00:35:30,23.28,70.35,80.98,86,57,9.64
45,Portland,US,2020-08-19 00:30:28,45.52,-122.68,87.01,42,20,12.75
46,Upernavik,GL,2020-08-19 00:29:35,72.79,-56.15,46.54,68,100,12.84
47,Nikolskoye,RU,2020-08-19 00:28:37,59.7,30.79,52.0,81,15,4.47
48,Cherskiy,RU,2020-08-19 00:32:42,68.75,161.3,44.85,86,100,6.89
49,Hithadhoo,MV,2020-08-19 00:28:33,-0.6,73.08,83.77,75,12,10.18
50,Katsuura,JP,2020-08-19 00:32:10,35.13,140.3,87.01,79,75,4.7
51,Geraldton,AU,2020-08-19 00:30:39,-28.77,114.6,50.0,87,41,8.05
52,Dikson,RU,2020-08-19 00:28:01,73.51,80.55,53.67,70,1,8.81
53,Bluff,NZ,2020-08-19 00:28:13,-46.6,168.33,51.26,75,98,7.72
54,Cape Town,ZA,2020-08-19 00:28:10,-33.93,18.42,50.0,81,75,2.24
55,Alofi,NU,2020-08-19 00:28:02,-19.06,-169.92,77.0,88,90,13.87
56,Alice Springs,AU,2020-08-19 00:33:35,-23.7,133.88,62.6,25,0,12.75
57,Karratha,AU,2020-08-19 00:31:40,-20.74,116.85,71.73,27,0,20.13
58,Aklavik,CA,2020-08-19 00:31:59,68.22,-135.01,62.6,55,20,10.29
59,East London,ZA,2020-08-19 00:27:59,-33.02,27.91,55.13,62,93,31.63
60,Mar Del Plata,AR,2020-08-19 00:28:04,-38.0,-57.56,44.01,70,99,10.29
61,Levikha,RU,2020-08-19 00:35:37,57.58,59.9,46.89,95,100,10.94
62,Ciudad Bolivar,VE,2020-08-19 00:35:37,8.12,-63.55,78.64,83,100,7.23
63,Nenjiang,CN,2020-08-19 00:32:03,49.18,125.22,60.76,62,0,10.78
64,Anadyr,RU,2020-08-19 00:30:07,64.75,177.48,53.6,76,40,6.71
65,Port Alfred,ZA,2020-08-19 00:28:09,-33.59,26.89,54.91,67,100,30.33
66,Swift Current,CA,2020-08-19 00:35:39,50.28,-107.8,91.4,19,20,5.82
67,Williams Lake,CA,2020-08-19 00:35:40,52.14,-122.14,73.4,40,75,4.7
68,Norman Wells,CA,2020-08-19 00:28:34,65.28,-126.83,60.8,67,75,3.36
69,Itainopolis,BR,2020-08-19 00:35:40,-7.45,-41.48,75.11,38,0,5.39
70,Mokhsogollokh,RU,2020-08-19 00:35:41,61.47,128.92,62.29,46,1,5.88
71,Dali,CN,2020-08-19 00:30:08,25.7,100.18,56.5,89,100,5.03
72,Hilo,US,2020-08-19 00:27:17,19.73,-155.09,82.4,58,90,3.36
73,Pangnirtung,CA,2020-08-19 00:28:48,66.15,-65.71,62.8,50,100,6.29
74,New Norfolk,AU,2020-08-19 00:28:46,-42.78,147.06,51.01,81,44,3.0
75,Grand Gaube,MU,2020-08-19 00:30:30,-20.01,57.66,70.0,72,79,5.99
76,Mumford,GH,2020-08-19 00:35:44,5.26,-0.76,74.71,90,83,7.45
77,Salinas,US,2020-08-19 00:33:16,36.68,-121.66,84.0,44,90,4.7
78,Sinnamary,GF,2020-08-19 00:35:44,5.38,-52.95,78.51,85,0,7.56
79,Namatanai,PG,2020-08-19 00:33:23,-3.67,152.43,83.44,70,68,8.12
80,Bengkulu,ID,2020-08-19 00:28:47,-3.8,102.27,76.89,83,47,5.55
81,Ushuaia,AR,2020-08-19 00:27:58,-54.8,-68.3,32.0,91,40,17.22
82,Brigantine,US,2020-08-19 00:35:46,39.41,-74.36,80.6,57,1,9.84
83,Georgetown,MY,2020-08-19 00:28:03,5.41,100.34,80.6,94,20,2.24
84,Atuona,PF,2020-08-19 00:29:03,-9.8,-139.03,78.64,75,1,21.43
85,Mudhol,IN,2020-08-19 00:35:47,16.35,75.28,72.12,88,100,11.63
86,Puerto Carreno,CO,2020-08-19 00:35:47,6.19,-67.49,84.2,70,40,2.24
87,Bathsheba,BB,2020-08-19 00:29:30,13.22,-59.52,82.4,78,40,14.99
88,San Cristobal,VE,2020-08-19 00:30:02,7.77,-72.22,80.6,78,40,10.29
89,Hervey Bay,AU,2020-08-19 00:35:17,-25.3,152.85,79.0,50,0,14.99
90,Flinders,AU,2020-08-19 00:30:51,-34.58,150.86,64.0,60,11,7.0
91,Puerto Madryn,AR,2020-08-19 00:35:50,-42.77,-65.04,38.77,72,5,25.28
92,Tiksi,RU,2020-08-19 00:29:15,71.69,128.87,39.56,76,96,12.37
93,Adrar,MR,2020-08-19 00:33:31,20.5,-10.07,99.18,13,68,13.2
